"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34017","Hudson County, NJ","113,974","0","16,902","2,036","14.8","1.8","97,072","2,036","85.2","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34017","Hudson County, NJ","112,407","0","20,783","2,218","18.5","2.0","91,624","2,218","81.5","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34017","Hudson County, NJ","109,942","0","24,599","2,264","22.4","2.1","85,343","2,264","77.6","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34017","Hudson County, NJ","108,007","0","23,359","2,247","21.6","2.1","84,648","2,247","78.4","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34017","Hudson County, NJ","105,826","0","22,603","2,252","21.4","2.1","83,224","2,252","78.6","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34017","Hudson County, NJ","103,484","0","22,833","2,371","22.1","2.3","80,650","2,371","77.9","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34019","Hunterdon County, NJ","32,887","0","1,172","256","3.6","0.8","31,715","256","96.4","0.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34019","Hunterdon County, NJ","32,764","0","1,186","244","3.6","0.7","31,578","244","96.4","0.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34019","Hunterdon County, NJ","32,495","0","1,587","275","4.9","0.8","30,908","275","95.1","0.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34019","Hunterdon County, NJ","32,074","0","2,296","352","7.2","1.1","29,778","352","92.8","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34019","Hunterdon County, NJ","31,626","0","1,907","346","6.0","1.1","29,719","346","94.0","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34019","Hunterdon County, NJ","31,211","0","1,966","356","6.3","1.1","29,245","356","93.7","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34019","Hunterdon County, NJ","30,647","0","1,978","358","6.5","1.2","28,669","358","93.5","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34021","Mercer County, NJ","74,133","0","3,965","724","5.3","1.0","70,168","724","94.7","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34021","Mercer County, NJ","74,275","0","5,557","926","7.5","1.2","68,718","926","92.5","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34021","Mercer County, NJ","73,639","0","7,044","1,004","9.6","1.4","66,595","1,004","90.4","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34021","Mercer County, NJ","72,841","0","8,287","1,057","11.4","1.5","64,554","1,057","88.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34021","Mercer County, NJ","71,833","0","7,320","1,019","10.2","1.4","64,513","1,019","89.8","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34021","Mercer County, NJ","70,919","0","7,714","1,064","10.9","1.5","63,205","1,064","89.1","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34021","Mercer County, NJ","69,277","0","7,365","1,010","10.6","1.5","61,912","1,010","89.4","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34023","Middlesex County, NJ","165,105","0","11,905","1,662","7.2","1.0","153,200","1,662","92.8","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34023","Middlesex County, NJ","165,549","0","13,390","1,740","8.1","1.1","152,159","1,740","91.9","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34023","Middlesex County, NJ","163,102","0","17,397","2,020","10.7","1.2","145,705","2,020","89.3","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34023","Middlesex County, NJ","159,590","0","20,342","2,055","12.7","1.3","139,248","2,055","87.3","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34023","Middlesex County, NJ","156,841","0","20,219","2,080","12.9","1.3","136,622","2,080","87.1","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34023","Middlesex County, NJ","153,906","0","19,930","2,138","12.9","1.4","133,977","2,138","87.1","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34023","Middlesex County, NJ","150,414","0","18,124","2,037","12.0","1.4","132,290","2,037","88.0","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34025","Monmouth County, NJ","147,391","0","7,962","1,269","5.4","0.9","139,429","1,269","94.6","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34025","Monmouth County, NJ","146,769","0","8,813","1,300","6.0","0.9","137,956","1,300","94.0","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34025","Monmouth County, NJ","144,946","0","11,530","1,483","8.0","1.0","133,416","1,483","92.0","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34025","Monmouth County, NJ","142,830","0","14,995","1,685","10.5","1.2","127,835","1,685","89.5","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34025","Monmouth County, NJ","140,563","0","13,129","1,553","9.3","1.1","127,435","1,553","90.7","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34025","Monmouth County, NJ","139,333","0","14,702","1,782","10.6","1.3","124,631","1,782","89.4","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34025","Monmouth County, NJ","135,667","0","12,558","1,605","9.3","1.2","123,109","1,605","90.7","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34027","Morris County, NJ","112,262","0","5,208","933","4.6","0.8","107,054","933","95.4","0.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34027","Morris County, NJ","111,578","0","5,833","1,001","5.2","0.9","105,745","1,001","94.8","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34027","Morris County, NJ","109,899","0","7,905","1,150","7.2","1.0","101,994","1,150","92.8","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34027","Morris County, NJ","107,701","0","8,981","1,142","8.3","1.1","98,720","1,142","91.7","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34027","Morris County, NJ","106,022","0","9,128","1,201","8.6","1.1","96,894","1,201","91.4","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34027","Morris County, NJ","104,342","0","7,814","1,150","7.5","1.1","96,528","1,150","92.5","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34027","Morris County, NJ","102,130","0","7,094","1,087","6.9","1.1","95,036","1,087","93.1","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34029","Ocean County, NJ","116,467","0","6,981","1,112","6.0","1.0","109,486","1,112","94.0","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34029","Ocean County, NJ","115,576","0","8,432","1,232","7.3","1.1","107,144","1,232","92.7","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34029","Ocean County, NJ","114,308","0","12,020","1,574","10.5","1.4","102,288","1,574","89.5","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34029","Ocean County, NJ","113,031","0","12,923","1,475","11.4","1.3","100,108","1,475","88.6","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34029","Ocean County, NJ","112,107","0","12,708","1,517","11.3","1.4","99,399","1,517","88.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34029","Ocean County, NJ","112,307","0","12,814","1,612","11.4","1.4","99,494","1,612","88.6","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34029","Ocean County, NJ","109,787","0","12,595","1,563","11.5","1.4","97,193","1,563","88.5","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34031","Passaic County, NJ","97,881","0","10,371","1,506","10.6","1.5","87,510","1,506","89.4","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34031","Passaic County, NJ","98,299","0","9,877","1,430","10.0","1.5","88,422","1,430","90.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34031","Passaic County, NJ","97,171","0","13,462","1,689","13.9","1.7","83,709","1,689","86.1","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34031","Passaic County, NJ","96,015","0","17,170","1,803","17.9","1.9","78,845","1,803","82.1","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34031","Passaic County, NJ","94,569","0","17,572","1,854","18.6","2.0","76,997","1,854","81.4","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34031","Passaic County, NJ","94,017","0","18,232","1,990","19.4","2.1","75,786","1,990","80.6","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34031","Passaic County, NJ","91,879","0","15,351","1,813","16.7","2.0","76,528","1,813","83.3","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34033","Salem County, NJ","14,025","0","901","210","6.4","1.5","13,124","210","93.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34033","Salem County, NJ","14,162","0","928","194","6.6","1.4","13,234","194","93.4","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34033","Salem County, NJ","14,228","0","1,286","239","9.0","1.7","12,942","239","91.0","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34033","Salem County, NJ","14,393","0","1,618","271","11.2","1.9","12,775","271","88.8","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34033","Salem County, NJ","14,420","0","1,442","251","10.0","1.7","12,978","251","90.0","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34033","Salem County, NJ","14,379","0","1,642","275","11.4","1.9","12,737","275","88.6","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34033","Salem County, NJ","14,172","0","1,477","272","10.4","1.9","12,695","272","89.6","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34035","Somerset County, NJ","75,218","0","3,378","659","4.5","0.9","71,840","659","95.5","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34035","Somerset County, NJ","74,659","0","3,832","691","5.1","0.9","70,827","691","94.9","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34035","Somerset County, NJ","73,404","0","4,985","764","6.8","1.0","68,419","764","93.2","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34035","Somerset County, NJ","71,442","0","5,843","808","8.2","1.1","65,599","808","91.8","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34035","Somerset County, NJ","69,544","0","5,665","835","8.1","1.2","63,879","835","91.9","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34035","Somerset County, NJ","67,964","0","5,621","850","8.3","1.3","62,343","850","91.7","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34035","Somerset County, NJ","66,102","0","5,114","824","7.7","1.2","60,988","824","92.3","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34037","Sussex County, NJ","36,231","0","1,899","396","5.2","1.1","34,332","396","94.8","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34037","Sussex County, NJ","36,187","0","1,858","361","5.1","1.0","34,329","361","94.9","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34037","Sussex County, NJ","35,975","0","3,141","513","8.7","1.4","32,834","513","91.3","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34037","Sussex County, NJ","35,625","0","3,400","500","9.5","1.4","32,225","500","90.5","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34037","Sussex County, NJ","35,477","0","3,379","519","9.5","1.5","32,099","519","90.5","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34037","Sussex County, NJ","35,138","0","3,396","532","9.7","1.5","31,742","532","90.3","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34037","Sussex County, NJ","34,200","0","3,182","540","9.3","1.6","31,018","540","90.7","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34039","Union County, NJ","111,219","0","10,385","1,541","9.3","1.4","100,834","1,541","90.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34039","Union County, NJ","111,349","0","9,910","1,428","8.9","1.3","101,439","1,428","91.1","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34039","Union County, NJ","109,490","0","13,784","1,696","12.6","1.5","95,706","1,696","87.4","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34039","Union County, NJ","107,554","0","16,700","1,789","15.5","1.7","90,854","1,789","84.5","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34039","Union County, NJ","105,585","0","16,228","1,759","15.4","1.7","89,357","1,759","84.6","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34039","Union County, NJ","103,716","0","15,769","1,747","15.2","1.7","87,947","1,747","84.8","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34039","Union County, NJ","101,085","0","15,141","1,800","15.0","1.8","85,944","1,800","85.0","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","34041","Warren County, NJ","25,668","0","1,457","302","5.7","1.2","24,211","302","94.3","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","34041","Warren County, NJ","25,464","0","1,697","337","6.7","1.3","23,767","337","93.3","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","34041","Warren County, NJ","25,026","0","2,080","360","8.3","1.4","22,946","360","91.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","34041","Warren County, NJ","24,637","0","2,842","427","11.5","1.7","21,795","427","88.5","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","34041","Warren County, NJ","24,068","0","2,779","426","11.5","1.8","21,288","426","88.5","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","34041","Warren County, NJ","23,730","0","2,295","379","9.7","1.6","21,435","379","90.3","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","34041","Warren County, NJ","23,118","0","2,214","376","9.6","1.6","20,904","376","90.4","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35000","New Mexico","402,002","0","39,302","2,928","9.8","0.7","362,700","2,928","90.2","0.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35000","New Mexico","405,388","0","45,810","3,226","11.3","0.8","359,578","3,226","88.7","0.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35000","New Mexico","407,660","0","61,165","3,508","15.0","0.9","346,495","3,508","85.0","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35000","New Mexico","408,821","0","77,744","4,058","19.0","1.0","331,077","4,058","81.0","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35000","New Mexico","411,077","0","79,074","3,776","19.2","0.9","332,004","3,776","80.8","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35000","New Mexico","411,426","0","80,160","4,100","19.5","1.0","331,266","4,100","80.5","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35000","New Mexico","404,171","0","72,782","3,868","18.0","1.0","331,389","3,868","82.0","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2009","35000","New Mexico","369,917","0","68,391","3,710","18.5","1.0","301,526","3,710","81.5","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2008","35000","New Mexico","357,146","0","65,282","3,591","18.3","1.0","291,864","3,591","81.7","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2007","35000","New Mexico","354,830","0","76,084","5,344","21.4","1.5","278,746","5,308","78.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2006","35000","New Mexico","347,478","0","68,868","5,117","19.8","1.5","278,610","5,217","80.2","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35001","Bernalillo County, NM","131,334","0","10,297","1,385","7.8","1.1","121,037","1,385","92.2","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35001","Bernalillo County, NM","131,016","0","12,999","1,536","9.9","1.2","118,017","1,536","90.1","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35001","Bernalillo County, NM","130,569","0","16,118","1,639","12.3","1.3","114,451","1,639","87.7","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35001","Bernalillo County, NM","129,825","0","20,865","1,884","16.1","1.5","108,960","1,884","83.9","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35001","Bernalillo County, NM","129,369","0","19,716","1,968","15.2","1.5","109,653","1,968","84.8","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35001","Bernalillo County, NM","129,151","0","20,607","2,113","16.0","1.6","108,544","2,113","84.0","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35001","Bernalillo County, NM","126,148","0","17,495","1,989","13.9","1.6","108,653","1,989","86.1","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35003","Catron County, NM","986","0","80","24","8.1","2.4","906","24","91.9","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35003","Catron County, NM","992","0","121","32","12.2","3.2","871","32","87.8","3.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35003","Catron County, NM","1,052","0","222","45","21.1","4.3","830","45","78.9","4.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35003","Catron County, NM","1,136","0","316","54","27.8","4.8","820","54","72.2","4.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35003","Catron County, NM","1,195","0","302","51","25.3","4.3","893","51","74.7","4.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35003","Catron County, NM","1,224","0","352","58","28.8","4.8","872","58","71.2","4.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35003","Catron County, NM","1,215","0","347","61","28.5","5.0","868","61","71.5","5.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35005","Chaves County, NM","11,946","0","1,270","303","10.6","2.5","10,676","303","89.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35005","Chaves County, NM","12,012","0","1,428","298","11.9","2.5","10,584","298","88.1","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35005","Chaves County, NM","12,115","0","2,010","355","16.6","2.9","10,105","355","83.4","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35005","Chaves County, NM","12,056","0","2,482","384","20.6","3.2","9,574","384","79.4","3.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35005","Chaves County, NM","12,046","0","2,625","385","21.8","3.2","9,421","385","78.2","3.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35005","Chaves County, NM","11,991","0","2,578","391","21.5","3.3","9,413","391","78.5","3.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35005","Chaves County, NM","11,804","0","2,395","399","20.3","3.4","9,409","399","79.7","3.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35006","Cibola County, NM","5,067","0","613","151","12.1","3.0","4,454","151","87.9","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35006","Cibola County, NM","5,136","0","721","162","14.0","3.2","4,415","162","86.0","3.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35006","Cibola County, NM","5,206","0","1,061","200","20.4","3.8","4,145","200","79.6","3.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35006","Cibola County, NM","5,246","0","1,252","205","23.9","3.9","3,994","205","76.1","3.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35006","Cibola County, NM","5,298","0","1,352","211","25.5","4.0","3,947","211","74.5","4.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35006","Cibola County, NM","5,291","0","1,335","218","25.2","4.1","3,956","218","74.8","4.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35006","Cibola County, NM","5,129","0","1,284","214","25.0","4.2","3,845","214","75.0","4.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35007","Colfax County, NM","2,922","0","215","60","7.4","2.1","2,707","60","92.6","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35007","Colfax County, NM","2,968","0","259","63","8.7","2.1","2,709","63","91.3","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35007","Colfax County, NM","3,077","0","402","83","13.1","2.7","2,675","83","86.9","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35007","Colfax County, NM","3,199","0","609","108","19.0","3.4","2,590","108","81.0","3.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35007","Colfax County, NM","3,230","0","598","106","18.5","3.3","2,632","106","81.5","3.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35007","Colfax County, NM","3,358","0","633","114","18.8","3.4","2,726","114","81.2","3.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35007","Colfax County, NM","3,371","0","564","111","16.7","3.3","2,808","111","83.3","3.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35009","Curry County, NM","7,749","0","741","196","9.6","2.5","7,008","196","90.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35009","Curry County, NM","7,712","0","726","173","9.4","2.2","6,986","173","90.6","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35009","Curry County, NM","7,752","0","1,065","212","13.7","2.7","6,687","212","86.3","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35009","Curry County, NM","7,781","0","1,447","238","18.6","3.1","6,334","238","81.4","3.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35009","Curry County, NM","7,913","0","1,388","230","17.5","2.9","6,525","230","82.5","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35009","Curry County, NM","7,878","0","1,464","241","18.6","3.1","6,414","241","81.4","3.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35009","Curry County, NM","7,738","0","1,235","242","16.0","3.1","6,503","242","84.0","3.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35011","DeBaca County, NM","388","0","56","16","14.4","4.1","332","16","85.6","4.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35011","DeBaca County, NM","421","0","75","18","17.8","4.3","346","18","82.2","4.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35011","DeBaca County, NM","441","0","88","19","20.0","4.3","353","19","80.0","4.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35011","DeBaca County, NM","465","0","121","22","26.0","4.7","344","22","74.0","4.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35011","DeBaca County, NM","470","0","120","21","25.6","4.6","350","21","74.4","4.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35011","DeBaca County, NM","473","0","118","21","24.8","4.5","356","21","75.2","4.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35011","DeBaca County, NM","472","0","104","21","22.1","4.4","368","21","77.9","4.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35013","Dona Ana County, NM","35,453","0","3,760","753","10.6","2.1","31,693","753","89.4","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35013","Dona Ana County, NM","35,879","0","3,693","677","10.3","1.9","32,186","677","89.7","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35013","Dona Ana County, NM","36,166","0","6,175","947","17.1","2.6","29,991","947","82.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35013","Dona Ana County, NM","36,057","0","7,770","981","21.5","2.7","28,287","981","78.5","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35013","Dona Ana County, NM","37,098","0","7,985","999","21.5","2.7","29,113","999","78.5","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35013","Dona Ana County, NM","36,925","0","8,021","1,060","21.7","2.9","28,904","1,060","78.3","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35013","Dona Ana County, NM","35,790","0","8,224","1,071","23.0","3.0","27,566","1,071","77.0","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35015","Eddy County, NM","10,754","0","708","180","6.6","1.7","10,046","180","93.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35015","Eddy County, NM","10,877","0","917","210","8.4","1.9","9,960","210","91.6","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35015","Eddy County, NM","10,852","0","1,176","237","10.8","2.2","9,676","237","89.2","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35015","Eddy County, NM","10,935","0","1,525","263","13.9","2.4","9,410","263","86.1","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35015","Eddy County, NM","10,918","0","1,647","279","15.1","2.6","9,271","279","84.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35015","Eddy County, NM","10,940","0","1,677","289","15.3","2.6","9,264","289","84.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35015","Eddy County, NM","10,729","0","1,467","282","13.7","2.6","9,261","282","86.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35017","Grant County, NM","5,817","0","393","108","6.8","1.9","5,424","108","93.2","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35017","Grant County, NM","6,049","0","472","118","7.8","2.0","5,577","118","92.2","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35017","Grant County, NM","6,317","0","735","159","11.6","2.5","5,582","159","88.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35017","Grant County, NM","6,495","0","1,083","197","16.7","3.0","5,412","197","83.3","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35017","Grant County, NM","6,716","0","1,228","212","18.3","3.2","5,488","212","81.7","3.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35017","Grant County, NM","6,958","0","1,425","236","20.5","3.4","5,533","236","79.5","3.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35017","Grant County, NM","6,879","0","1,289","229","18.7","3.3","5,590","229","81.3","3.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35019","Guadalupe County, NM","809","0","68","20","8.4","2.5","741","20","91.6","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","35019","Guadalupe County, NM","845","0","89","23","10.5","2.7","756","23","89.5","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","35019","Guadalupe County, NM","871","0","134","29","15.4","3.3","737","29","84.6","3.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","35019","Guadalupe County, NM","880","0","176","35","20.0","4.0","704","35","80.0","4.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","35019","Guadalupe County, NM","887","0","175","35","19.7","3.9","713","35","80.3","3.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","35019","Guadalupe County, NM","898","0","179","35","20.0","3.9","718","35","80.0","3.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","35019","Guadalupe County, NM","884","0","160","34","18.1","3.9","724","34","81.9","3.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","35021","Harding County, NM","193","0","16","4","8.3","2.1","177","4","91.7","2.1"
